 Format                 IAGA-2002                                    |
 Source of Data         United States Geological Survey (USGS)       |
 Station Name           Boulder                                      |
 IAGA CODE              BOU                                          |
 Geodetic Latitude      40.137                                       |
 Geodetic Longitude     254.764                                      |
 Elevation              1682                                         |
 Reported               HDZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.01 second                                  |
 Data Interval Type     filtered 1-minute (00:15-01:45)              |
 Data Type              variation                                    |
 # DECBAS               7406    (Baseline declination value in       |
 #                      tenths of minutes East (0-216,000)).         |
 # Vector 1-minute values are computed from 1-second values using    |
 # the INTERMAGNET gaussian filter centered on the minute.           |
 # Scalar 1-minute values are computed from 1-second values using    |
 # the INTERMAGNET gaussian filter centered on the minute.           |
 # This data file was constructed by the Golden GIN.                 |
 # Final data will be available on the INTERMAGNET DVD.              |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The Conditions of Use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
DATE       TIME         DOY     BOUH      BOUD      BOUZ      BOUF   |
2013-04-02 00:00:00.000 092     20819.61    -47.89  47705.42  52585.28
2013-04-02 00:01:00.000 092     20819.40    -47.87  47705.47  52585.24
2013-04-02 00:02:00.000 092     20819.38    -47.86  47705.47  52585.24
2013-04-02 00:03:00.000 092     20819.09    -47.83  47705.50  52585.15
2013-04-02 00:04:00.000 092     20819.45    -47.84  47705.52  52585.31
2013-04-02 00:05:00.000 092     20819.84    -47.84  47705.53  52585.46
2013-04-02 00:06:00.000 092     20820.05    -47.83  47705.58  52585.58
2013-04-02 00:07:00.000 092     20819.93    -47.81  47705.65  52585.61
2013-04-02 00:08:00.000 092     20819.93    -47.80  47705.71  52585.67
2013-04-02 00:09:00.000 092     20819.45    -47.78  47705.78  52585.55
2013-04-02 00:10:00.000 092     20819.09    -47.76  47705.78  52585.41
2013-04-02 00:11:00.000 092     20819.10    -47.74  47705.76  52585.38
2013-04-02 00:12:00.000 092     20818.82    -47.71  47705.75  52585.27
2013-04-02 00:13:00.000 092     20818.78    -47.70  47705.74  52585.24
2013-04-02 00:14:00.000 092     20818.74    -47.69  47705.74  52585.22
2013-04-02 00:15:00.000 092     20818.43    -47.69  47705.76  52585.12
