USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
blaufer,22460,0.5,0.9,2708012,78800,?,Sl,18:40,0:17,/opt/chromium-browser/chromium-browser,--enable-plugins,--enable-extensions,--enable-user-scripts,--enable-printing,--enable-sync,--auto-ssl-client-auth,--ppapi-flash-path=/opt/chromium-browser/PepperFlash/libpepflashplayer.so,--ppapi-flash-version=11.9.900.170
blaufer,23066,0.3,0.5,1185148,40684,?,Sl,19:13,0:03,/opt/chromium-browser/chromium-browser,--type=renderer,--lang=en-US,--force-fieldtrials=DeferBackgroundExtensionCreation/Deferred/ForceCompositingMode/disable/Prefetch/ContentPrefetchPrefetchOff/Prerender/Prerender15minTTL/PrerenderFromOmnibox/OmniboxPrerenderEnabled/UMA-New-Install-Uniformity-Trial/Experiment/UMA-Session-Randomized-Uniformity-Trial-5-Percent/group_05/UMA-Uniformity-Trial-1-Percent/group_50/UMA-Uniformity-Trial-10-Percent/group_04/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/default/UMA-Uniformity-Trial-5-Percent/group_16/UMA-Uniformity-Trial-50-Percent/default/,--ppapi-flash-path=/opt/chromium-browser/PepperFlash/libpepflashplayer.so,--ppapi-flash-version=11.9.900.170,--disable-accelerated-compositing,--disable-accelerated-2d-canvas,--disable-accelerated-video-decode,--channel=22460.5.406404848
blaufer,23150,0.3,0.2,749124,18912,?,S,19:24,0:01,gedit
root,21131,0.1,0.5,160952,40252,tty1,Ss+,14:09,0:30,/usr/bin/Xorg,:0,-br,-verbose,-audit,4,-auth,/var/run/gdm/auth-for-gdm-y4yEP5/database,-nolisten,tcp,vt1
blaufer,21949,0.1,0.4,704944,32988,?,S,18:24,0:07,nautilus
blaufer,22614,0.1,0.1,311252,14308,?,Sl,18:41,0:04,gnome-terminal
root,1,0.0,0.0,21448,952,?,Ss,2014,0:07,/sbin/init
root,2,0.0,0.0,0,0,?,S,2014,0:00,[kthreadd]
root,3,0.0,0.0,0,0,?,S,2014,0:08,[migration/0]
root,4,0.0,0.0,0,0,?,S,2014,0:01,[ksoftirqd/0]
root,5,0.0,0.0,0,0,?,S,2014,0:00,[stopper/0]
root,6,0.0,0.0,0,0,?,S,2014,0:03,[watchdog/0]
root,7,0.0,0.0,0,0,?,S,2014,0:04,[migration/1]
root,8,0.0,0.0,0,0,?,S,2014,0:00,[stopper/1]
root,9,0.0,0.0,0,0,?,S,2014,0:01,[ksoftirqd/1]
root,10,0.0,0.0,0,0,?,S,2014,0:03,[watchdog/1]
root,11,0.0,0.0,0,0,?,S,2014,0:01,[migration/2]
